StudyHours,Attendance,SleepHours,PreviousGrade,AssignmentsCompleted,InternetAccess,Extracurricular,Performance
9,100,8,99,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,90,6,Yes,NO,Excellent
7,100,7,92,7,Yes,YES,Excellent
7,100,7,94,7,Yes,No,Excellent
8,100,8,96,8,Yes,YES,Excellent
8,100,8,98,8,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,91,6,Yes,NO,Excellent
7,100,7,93,7,Yes,YES,Excellent
7,100,7,95,7,Yes,No,Excellent
8,100,8,97,8,Yes,YES,Excellent
8,100,8,99,8,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,92,6,Yes,NO,Excellent
7,100,7,94,7,Yes,YES,Excellent
7,100,7,96,7,Yes,No,Excellent
8,100,8,98,8,Yes,YES,Excellent
8,100,8,100,8,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,93,6,Yes,NO,Excellent
7,100,7,95,7,Yes,YES,Excellent
7,100,7,97,7,Yes,No,Excellent
8,100,8,99,8,Yes,YES,Excellent
8,100,8,100,8,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,94,6,Yes,NO,Excellent
7,100,7,96,7,Yes,YES,Excellent
7,100,7,98,7,Yes,No,Excellent
8,100,8,100,8,Yes,YES,Excellent
8,100,8,100,8,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,95,6,Yes,NO,Excellent
7,100,7,97,7,Yes,YES,Excellent
7,100,7,99,7,Yes,No,Excellent
8,100,8,100,8,Yes,YES,Excellent
8,100,8,100,8,Yes,YES,Excellent
9,100,8,100,9,Yes,Yes,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,96,6,Yes,NO,Excellent
7,100,7,98,7,Yes,YES,Excellent
7,100,7,100,7,Yes,No,Excellent
8,100,8,100,8,Yes,YES,Excellent
8,100,8,100,8,Yes,Yes,Excellent
9,100,8,100,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
6,100,7,97,6,Yes,NO,Excellent
7,100,7,99,7,Yes,YES,Excellent
7,100,7,100,7,Yes,No,Excellent
8,100,8,100,8,Yes,YES,Excellent
8,100,8,100,8,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
9,100,8,100,9,Yes,YES,Excellent
10,100,8,100,10,Yes,YES,Excellent
10,100,9,100,10,Yes,YES,Excellent
11,100,9,100,10,Yes,YES,Excellent
12,100,9,100,10,Yes,YES,Excellent
